1,58102,50187,50001,50099,58507,2021-12-06,5,493.46
2,57098,52878,50001,56903,58829,2021-09-01,6,440.99
3,59593,50711,50002,51828,50509,2021-12-25,9,230.38
4,56943,58987,50002,56473,52261,2021-02-05,6,334.67
5,57612,58535,50002,56232,59093,2021-08-19,1,445.39
6,56088,58852,50003,56666,58069,2021-12-03,9,178.40
7,59907,54268,50004,55792,54313,2021-07-16,2,238.71
8,53581,53034,50005,50245,51694,2021-03-08,9,225.15
9,53947,56962,50005,57604,56845,2021-09-16,6,221.07
10,58155,54634,50005,59200,58117,2021-11-24,4,492.50
11,56935,53956,50005,51735,58257,2021-03-01,7,175.85
12,50443,55164,50006,54292,50530,2021-07-29,5,19.58
13,53523,51201,50006,55021,57196,2021-03-20,5,459.92
14,55869,58653,50006,53881,59904,2021-09-06,6,370.51
15,50496,58657,50007,57323,50337,2021-07-08,9,350.35
16,51283,55422,50007,54799,56599,2021-08-29,2,132.17
17,54198,52114,50008,59135,51119,2021-08-08,6,212.23
18,57926,57674,50009,50922,53797,2021-04-21,4,369.30
19,52724,55143,50010,52676,53255,2021-08-07,7,38.18
20,51700,54368,50011,50498,51780,2021-11-03,3,26.81
21,51523,55443,50012,53800,59869,2021-08-19,8,269.09
22,55458,58533,50013,57017,51968,2021-09-14,4,312.27
23,59545,58038,50014,52584,56585,2021-01-04,10,229.17
24,56645,51682,50015,53537,55283,2021-05-18,3,294.85
25,55647,52541,50015,51305,58659,2021-11-04,2,397.97
26,59820,59207,50016,57285,56557,2021-01-11,2,377.36
27,50204,53907,50016,57545,59903,2021-03-22,9,271.07
28,56244,55407,50017,57706,54602,2021-06-24,5,362.68
29,57673,56461,50018,57595,51793,2021-11-07,2,477.34
30,53038,54330,50019,52780,51644,2021-06-30,1,35.57
31,57668,54139,50019,58766,52120,2021-03-05,2,422.21
32,54903,52614,50019,55150,52395,2021-12-03,7,105.01
33,52863,54737,50131,59508,51076,2021-05-09,2,359.06
34,52016,52076,50131,53247,59103,2021-07-15,9,100.06
35,57246,57985,50020,54557,54122,2021-12-02,3,229.20
36,54531,54926,50020,54560,55402,2021-01-07,6,369.69
37,50190,52056,50020,59943,56142,2021-11-24,1,256.33
38,52418,55700,50021,51181,50023,2021-01-01,5,79.85
39,57430,56151,50021,53675,51852,2021-09-13,2,22.48
40,55953,53531,50022,58598,53631,2021-09-27,10,37.42
41,53569,53106,50023,53081,53401,2021-11-03,8,295.37
42,59445,50209,50023,58778,57297,2021-07-18,4,214.38
43,54957,57380,50024,53287,55043,2021-08-11,1,431.64
44,59127,52486,50025,59980,55645,2021-08-26,5,76.94
45,52370,57517,50025,53085,56857,2021-01-06,7,265.53
46,51312,55935,50026,59587,51917,2021-10-29,2,96.27
47,55663,53464,50026,53756,52943,2021-08-05,3,276.28
48,59019,53561,50026,50267,52629,2021-11-08,5,434.58
49,50272,55922,50026,59921,57441,2021-04-06,3,88.86
50,56529,52839,50027,51937,54435,2021-01-24,8,235.99
51,58734,58569,50028,50668,51928,2021-05-16,7,119.31
52,50392,57309,50029,60000,54208,2021-01-19,1,404.86
53,51028,59908,50030,59908,56528,2021-11-29,1,386.70
54,54956,56397,50030,53160,57223,2021-08-05,7,44.96
55,59253,51970,50031,57752,58837,2021-02-03,5,361.92
56,54753,56333,50032,50053,57470,2021-06-17,7,277.85
57,55834,51060,50033,52205,50847,2021-05-19,5,19.29
58,50667,54465,50034,54457,52898,2021-01-22,5,237.27
59,58371,58968,50034,55251,58431,2021-03-12,2,204.39
60,58053,58829,50035,53325,54177,2021-07-29,7,238.61
61,54725,59100,50036,55180,52451,2021-07-14,5,199.76
62,51909,55459,50037,56932,56784,2021-02-21,10,304.63
63,52419,51192,50038,52094,57146,2021-12-06,8,350.62
64,50102,58847,50038,56647,57458,2021-08-30,5,434.71
65,55737,51832,50039,57820,57613,2021-01-17,2,189.82
66,52598,52595,50040,58573,51203,2021-06-25,8,248.06
67,56342,54103,50040,50941,59943,2021-09-11,4,283.08
68,50492,54650,50041,53744,59833,2021-10-17,5,422.86
69,59414,52832,50042,58990,55201,2021-04-13,3,266.23
70,54342,54258,50042,58847,56771,2021-07-26,10,463.18
71,53002,56086,50043,53252,59122,2021-02-08,2,50.14
72,59999,51077,50044,59968,50284,2021-05-03,6,447.77
73,56732,54908,50045,53493,54069,2021-02-28,10,185.34
74,55784,52771,50046,50675,56691,2021-07-14,4,242.10
75,59186,59428,50047,54706,51326,2021-07-09,2,365.04
76,58981,56357,50048,58884,50430,2021-07-16,4,185.73
77,51245,59416,50048,53783,51761,2021-10-07,6,78.64
78,56888,55732,50048,59332,55141,2021-12-19,3,185.45
79,55465,54874,50049,58221,59525,2021-10-10,3,281.73
80,50722,59420,50050,50594,51044,2021-10-15,4,162.89
81,53828,50069,50051,50900,56605,2021-03-04,7,44.01
82,54996,52147,50052,58441,51732,2021-12-24,2,203.81
83,55382,56232,50052,59787,52285,2021-05-23,9,431.98
84,57042,51803,50052,55147,55776,2021-12-07,4,427.91
85,51604,52386,50053,55809,52489,2021-08-07,8,349.21
86,51570,51138,50053,55070,54487,2021-07-09,1,390.69
87,57914,51655,50054,58035,52540,2021-02-18,2,432.33
88,54372,54604,50055,58600,55431,2021-12-03,3,97.28
89,57933,57984,50056,57072,55564,2021-06-19,8,45.13
90,54731,52809,50056,57225,56516,2021-10-11,6,481.85
91,54443,58137,50057,51209,52616,2021-07-11,7,366.13
92,55993,57925,50057,58662,59423,2021-01-10,5,337.92
93,52509,56244,50058,53917,51148,2021-09-28,7,281.58
94,50378,59165,50058,58071,53089,2021-04-14,10,317.63
95,54328,55513,50058,54385,57783,2021-02-05,5,173.04
96,59874,50662,50059,51680,50358,2021-03-18,8,136.48
97,55548,59763,50059,58949,51007,2021-07-28,7,354.96
98,53643,56980,50059,56343,54296,2021-06-27,7,318.86
99,51858,52856,50059,50958,55745,2021-03-23,5,310.20
100,56880,50348,50060,57185,56979,2021-02-11,4,127.99
101,52120,50168,50061,50732,50296,2021-04-24,5,324.17
102,51545,50293,50083,57933,51903,2021-02-21,1,320.62
103,50080,54364,50083,58637,52921,2021-03-21,2,21.63
104,51956,51852,50083,52865,56913,2021-05-31,8,296.43
105,52756,52736,50062,59157,52658,2021-08-12,8,291.51
106,56221,50814,50062,53758,57979,2021-03-25,5,197.60
107,53912,54887,50063,53398,54334,2021-12-02,4,381.18
108,56476,59138,50064,50488,52560,2021-01-17,8,134.77
109,56534,50451,50064,53089,59583,2021-09-02,1,421.80
110,57589,50954,50065,54834,54534,2021-02-15,6,53.24
111,58082,58112,50065,57925,55038,2021-08-24,5,327.19
112,50609,50105,50066,50140,50682,2021-04-25,3,402.55
113,53070,53689,50066,52104,58175,2021-08-08,7,392.23
114,54709,57256,50067,59517,56078,2021-05-20,4,191.96
115,50615,57484,50068,51978,53936,2021-03-31,3,377.47
116,52635,55529,50069,58502,52075,2021-01-10,10,16.04
117,54707,52813,50069,52698,53070,2021-11-28,3,346.17
118,52529,56956,50070,58590,53346,2021-03-05,2,265.94
119,51010,52722,50071,51561,50356,2021-08-27,8,40.54
120,55114,55296,50071,57392,53430,2021-06-05,3,377.24
121,55231,51168,50071,58069,57444,2021-07-08,3,42.08
122,58029,54873,50072,52431,60000,2021-11-15,3,27.81
123,56319,56094,50073,59981,50805,2021-06-15,3,180.11
